geo,country_code,nuts_level,year,rail_network_length_km,rail_electrified_km,electrification_share
EL5,EL,1,2001,1071.0,89.0,0.08309990662931839
EL5,EL,1,2002,1071.0,89.0,0.08309990662931839
EL5,EL,1,2003,1058.0,82.0,0.07750472589792061
EL5,EL,1,2004,1060.0,82.0,0.07735849056603773
EL5,EL,1,2005,1065.0,82.0,0.07699530516431925
EL5,EL,1,2006,1065.0,86.0,0.08075117370892018
EL5,EL,1,2007,1064.0,179.0,0.16823308270676693
EL5,EL,1,2008,1064.0,191.0,0.17951127819548873
EL5,EL,1,2009,1064.0,191.0,0.17951127819548873
EL5,EL,1,2010,1064.0,191.0,0.17951127819548873
EL5,EL,1,2011,1059.0,194.0,0.18319169027384324
EL5,EL,1,2012,1059.0,194.0,0.18319169027384324
