geo,target,feature,kind,pearson_r,p_pearson,spearman_r,p_spearman,n
EE,rail_investment_pct_gdp,cars_per_1000_inhabitants,delta,-0.35839886803539767,0.09349091378904058,-0.0827720573541315,0.7106250542513216,23
BG,rail_investment_pct_gdp,internet_users_pct,delta,0.3583247614634388,0.21364309536065118,0.10692749238932192,0.7218410856425638,14
MD,rail_investment_pct_gdp,electricity_access_pct,delta,0.35802428497609873,0.3216144466330998,0.26882264047647425,0.46590744656326494,10
PT,rail_investment_pct_gdp,education_spend_pct_gdp,delta,0.3568801177330486,0.23780241112774814,0.3555338502372896,0.23974614710485162,13
SI,rail_investment_pct_gdp,rail_passengers,delta,-0.3566456855368135,0.0873634810053376,-0.19406093757281992,0.36773628812353903,24
PT,rail_investment_pct_gdp,cars_per_1000_inhabitants,level,-0.35531052326206297,0.1372700718987499,-0.30862278655887143,0.20192371648501242,19
AT,rail_investment_pct_gdp,inflation_pct,delta,0.3547926287878312,0.19883053106309506,0.24444154274159358,0.38744103529994445,15
CZ,rail_investment_pct_gdp,gdp_per_capita_pps,delta,-0.3539049037339601,0.05927727890896984,-0.41947630063996716,0.022634454505531008,29
NL,rail_investment_pct_gdp,imports_pct_gdp,level,-0.3538188201507889,0.2672546191250233,-0.3491090050206294,0.27426815682872,12
IT,rail_investment_pct_gdp,education_spend_pct_gdp,level,0.3537754016821166,0.0901855329653621,0.5293888369635054,0.006923702548043664,24
MD,rail_investment_pct_gdp,internet_users_pct,delta,0.35326995081185697,0.32869519002924935,0.07060757240493275,0.8515654089505558,10
NL,rail_investment_pct_gdp,homicide_rate,delta,-0.353161087392575,0.29656266075740473,-0.3352732926606306,0.3239194223927182,11
PL,rail_investment_pct_gdp,rail_freight_tonne_km,delta,-0.3528196840849123,0.09920895335344426,-0.2549817102307667,0.24359956710914987,23
NO,rail_investment_pct_gdp,rail_locomotives,level,0.35273083512267495,0.36664158999561464,0.5783196221988014,0.10598580936023509,9
LV,rail_investment_pct_gdp,education_spend_pct_gdp,level,0.35198063752759967,0.07782629137896799,0.4891495350028727,0.010303001271593755,26
FI,rail_investment_pct_gdp,net_migration_rate,level,-0.3515653157055729,0.040890076496900546,-0.489453985313148,0.002876294301257308,34
FI,rail_investment_pct_gdp,rail_gross_tonne_km,delta,0.3513914090707736,0.040999194378223996,0.19234473937801164,0.27817054678307174,34
LT,rail_investment_pct_gdp,gni_per_capita_usd,delta,0.3511251842268964,0.08541423188628697,0.06499979786175988,0.7601327011137647,25
LV,rail_investment_pct_gdp,gov_deficit_pct_gdp,level,-0.35098138415272195,0.05681712367659504,-0.3479845973159659,0.0591634563946117,30
PL,rail_investment_pct_gdp,gva_total_meur,delta,-0.35082317044286637,0.1013151871207703,-0.10486922141432099,0.6378406319954021,23
DE,rail_investment_pct_gdp,pop_growth_rate,level,0.35078197081465523,0.17046828120103596,0.09715128401017352,0.7153674773196288,17
DK,rail_investment_pct_gdp,net_migration_rate,level,-0.3501464466909778,0.12086462955890795,-0.30276596853697046,0.1848105862742724,21
NL,rail_investment_pct_gdp,gdp_current_usd,delta,0.3500569236719889,0.2728487048842388,0.4798915950571509,0.11675742789313359,12
BG,rail_investment_pct_gdp,gdp_current_usd,level,-0.349932918838154,0.22559420164601557,-0.46572575525906573,0.09421649571919406,14
NL,rail_investment_pct_gdp,gdp_per_capita_usd,delta,0.34945595153040676,0.2737481652026557,0.3087810645211969,0.3382683690091532,12
HR,rail_investment_pct_gdp,rail_freight_tonne_km,level,-0.34916256850838745,0.05823241437710208,-0.30128737187830934,0.10616673294235583,30
EL,rail_investment_pct_gdp,price_level_index,level,-0.3488377954039427,0.30306321768805883,-0.640199741756013,0.03192117515588679,11
SE,rail_investment_pct_gdp,net_migration_rate,level,-0.348812956172501,0.04991479118156438,-0.4462177410496267,0.009746230100898739,32
MD,rail_investment_pct_gdp,co2_per_capita,delta,-0.34855803039352024,0.3357843934719878,-0.1578885480549278,0.6735667719600291,10
PL,rail_investment_pct_gdp,gdp_current_meur,delta,-0.3476917733263114,0.10468324433860543,-0.10575580750726195,0.6349797910725232,23
BE,rail_investment_pct_gdp,rail_vehicle_km,delta,0.3474139021177704,0.2768163458335815,0.24684173743218163,0.44956498490360997,12
FI,rail_investment_pct_gdp,net_earnings_eur,level,-0.3471829873023673,0.08931117854114208,-0.36143038307846,0.07582127237642663,25
LT,rail_investment_pct_gdp,gdp_current_usd,delta,0.3461872322220255,0.07688596320433007,0.06743708354101899,0.7407388469794722,27
SI,rail_investment_pct_gdp,co2_per_capita,delta,0.34598349567975384,0.06077134383318764,0.08779741774322972,0.6473933179992526,30
CZ,rail_investment_pct_gdp,net_migration_rate,level,-0.345846793536479,0.06088239910900575,-0.2362672927755332,0.2108170786841937,30
CZ,rail_investment_pct_gdp,inflation_pct,level,0.34565019490093385,0.061042387380584436,0.27340385111541915,0.14491681798863018,30
ES,rail_investment_pct_gdp,co2_per_capita,delta,0.34463547729944577,0.06690694900571863,0.09901642980114729,0.612473058497174,29
CZ,rail_investment_pct_gdp,passenger_modal_split_rail_pct,delta,-0.3442464227429129,0.06724280015941522,-0.38100493380361966,0.040765853533734554,29
ES,rail_investment_pct_gdp,rail_freight_tonne_km,level,0.3442074952726917,0.06727647487207579,0.15844590249248713,0.41519629680265796,29
DE,rail_investment_pct_gdp,exports_pct_gdp,delta,-0.3436122684966138,0.18018137294283762,-0.3059007418219136,0.23703667523341926,17
LT,rail_investment_pct_gdp,homicide_rate,level,0.3435988510994923,0.07931834221305728,0.31302697972260746,0.11256515488895127,27
SE,rail_investment_pct_gdp,internet_users_pct,level,-0.34293861349247173,0.05425934985191213,-0.46668082292901375,0.006451285899340379,32
DK,rail_investment_pct_gdp,rail_train_km,level,-0.3427037001550981,0.21600777073010724,-0.27089995363883385,0.33582462845526706,15
LT,rail_investment_pct_gdp,rail_gross_tonne_km,delta,0.3418999114038091,0.07487786362134931,0.36369816722887416,0.05668832851451461,28
FR,rail_investment_pct_gdp,infant_mortality_rate,delta,-0.34171847427429525,0.0949270515695989,-0.09440750530565305,0.656946365458509,25
NL,rail_investment_pct_gdp,exports_pct_gdp,level,-0.34145225430216264,0.2858785623804662,-0.323174440995844,0.314625755718358,12
DK,rail_investment_pct_gdp,inflation_pct,level,0.3414417771820786,0.13124571284593767,0.5713096107886493,0.005861216293411713,21
MD,rail_investment_pct_gdp,gni_per_capita_usd,level,0.3412958935678118,0.346848636539337,0.2843081737701042,0.4392149757806057,10
AT,rail_investment_pct_gdp,rail_train_km,delta,0.3407160703591945,0.21891510743779338,0.4014194969516866,0.14063760097490713,15
SK,rail_investment_pct_gdp,population_total,delta,0.34067604554283953,0.08213369295176033,-0.18838759454275247,0.35027115785334584,27
SI,rail_investment_pct_gdp,net_migration_rate,level,-0.3406059337578233,0.06525901018834544,-0.22079100505390561,0.24342396293962518,30
SI,rail_investment_pct_gdp,internet_users_pct,delta,0.34048720783156067,0.06536087493254554,0.13230494035160645,0.4892321360644863,30
NL,rail_investment_pct_gdp,co2_per_capita,level,-0.34048549466912975,0.28736278741273674,-0.3736192844581971,0.23884884089514286,12
FR,rail_investment_pct_gdp,arope_rate_pct,delta,0.34032479249156394,0.3852598434399103,0.38469293347441097,0.3205123508744391,9
CH,rail_investment_pct_gdp,rail_freight_tonnes,delta,0.3400873430187368,0.28797523939832825,0.31245857671526195,0.33214468205300895,12
LV,rail_investment_pct_gdp,material_deprivation_pct,level,0.33977958632275257,0.20202613715049647,0.6740283736855353,0.0031812217484609865,16
PT,rail_investment_pct_gdp,material_deprivation_pct,delta,-0.3391654424729094,0.3870194056819204,-0.3802595121813554,0.3267480784199015,9
PL,rail_investment_pct_gdp,rail_passenger_km,delta,-0.33903575582909595,0.2030999671346089,-0.4756917670294159,0.0621090308461636,16
