geo,target,feature,kind,pearson_r,p_pearson,spearman_r,p_spearman,n
BE,rail_investment_per_network_km,education_spend_pct_gdp,delta,0.15734024483437162,0.6746532886488966,0.2565785621306808,0.4874581627648727,10
CH,rail_investment_per_network_km,rail_freight_tonne_km,delta,0.1572713458565454,0.6342433747736981,-0.08597257998424444,0.7959778198627565,12
PL,rail_investment_per_network_km,health_spend_pct_gdp,delta,-0.15715806871817023,0.5393757209838248,-0.243196775985555,0.33647443276330746,18
RS,rail_investment_per_network_km,homicide_rate,delta,0.1570935279385411,0.675142341150376,0.07966908470236896,0.8327060444348862,10
IT,rail_investment_per_network_km,rail_locomotives,delta,-0.15699480714304329,0.49017443992458315,0.1858582288784607,0.41240782438882295,22
SK,rail_investment_per_network_km,passenger_modal_split_rail_pct,delta,-0.15645469182021157,0.48051095981239234,0.07371081442955872,0.7412157877266644,23
HR,rail_investment_per_network_km,gva_total_meur,delta,0.156270610652079,0.421737839152185,0.2510236621818552,0.19089905911664945,29
NO,rail_investment_per_network_km,rail_network_length_km,delta,-0.15623030438333896,0.492325233983992,0.09562610688447563,0.6758724819519052,22
FI,rail_investment_per_network_km,price_level_index,delta,0.1553229697777143,0.4246049405597675,0.11092077469723313,0.5700865599947161,29
EE,rail_investment_per_network_km,compensation_employees_meur,delta,-0.15479343454625089,0.5455971838159217,-0.21511741478200222,0.39734824087701226,18
NL,rail_investment_per_network_km,homicide_rate,delta,-0.1547574072617596,0.6797779492887898,0.0070420073408328674,0.9851349077847918,10
RS,rail_investment_per_network_km,compensation_employees_meur,delta,0.1539868040321404,0.6606377859693942,0.050926315241300216,0.8853693183926005,11
LT,rail_investment_per_network_km,gini_coefficient,delta,-0.15388787911271734,0.47717715317083015,-0.05675540195517124,0.7945816771036317,24
IT,rail_investment_per_network_km,gdp_current_meur,delta,-0.15384226356022188,0.4990726281847284,0.1720411476956151,0.44878458475562377,22
EL,rail_investment_per_network_km,gov_debt_pct_gdp,delta,-0.15351056461829868,0.7046739387959761,-0.3528617084616609,0.3664472584375687,9
CZ,rail_investment_per_network_km,compensation_employees_meur,delta,0.15191617687510364,0.4349986641670207,-0.18738811601667504,0.333583417742589,29
LT,rail_investment_per_network_km,infant_mortality_rate,delta,0.15187436758205378,0.4533568213642541,0.14287393974022083,0.48096067088245614,27
DK,rail_investment_per_network_km,urban_population_pct,delta,-0.15157933255295086,0.5541027763069946,0.00879392190728583,0.9728296314136349,18
HU,rail_investment_per_network_km,rail_fatalities,delta,0.15133347755947893,0.5294840862878138,0.28153186357712434,0.2328693316602572,20
PL,rail_investment_per_network_km,rail_freight_tonne_km,delta,-0.15093424409154962,0.5073481693474515,-0.12921990715652162,0.571106024911284,22
SE,rail_investment_per_network_km,gdp_per_capita_usd,delta,-0.1507703630541361,0.4385246222505158,-0.2852391031389692,0.1346719270420549,29
HU,rail_investment_per_network_km,gdp_growth_pct,delta,0.15048032625790952,0.44835563937423695,0.07551571056213899,0.7052086754325864,28
DK,rail_investment_per_network_km,fertility_rate,delta,0.15032503484138052,0.5574372589035685,0.06777072943274332,0.7926447250883778,18
HU,rail_investment_per_network_km,rail_freight_tonnes,delta,0.15015426444690924,0.532746666373263,0.029426359839322742,0.9034034999641788,20
SE,rail_investment_per_network_km,gdp_growth_pct,delta,-0.1495437871444163,0.4423158556873705,-0.2859797685300411,0.133603525989753,29
BG,rail_investment_per_network_km,rail_electrified_km,delta,0.1494441023727403,0.6339676521635009,-0.0699464670405421,0.8246627008042262,13
SE,rail_investment_per_network_km,exports_pct_gdp,delta,0.149284552605279,0.44311933646329243,-0.05098523339856129,0.794709257770503,29
BG,rail_investment_per_network_km,unemployment_rate_pct,delta,0.14917722440811315,0.6520641580794128,0.19439671478431758,0.5547163451190038,12
EE,rail_investment_per_network_km,population_density,delta,-0.1491679267744167,0.5738904262039903,-0.15454954595868606,0.559931878837062,17
PL,rail_investment_per_network_km,gov_revenue_pct_gdp,delta,0.14873700625693712,0.5136434698463856,0.19502745023713508,0.38916318812587336,22
LT,rail_investment_per_network_km,freight_modal_split_rail_pct,delta,0.14863695961477738,0.5752752406132192,0.24559284710306797,0.3481938648850175,17
CZ,rail_investment_per_network_km,population_density,delta,0.14860703652550208,0.4541112557107327,0.10352120466367896,0.6034351173281792,28
RS,rail_investment_per_network_km,gini_coefficient,delta,0.1483428880641591,0.6725170617476379,0.11941110072890934,0.7343349490489002,11
CH,rail_investment_per_network_km,gdp_per_capita_usd,delta,0.1478828066821199,0.6549287591927837,0.0698631709168278,0.8337211307894113,12
SK,rail_investment_per_network_km,compensation_employees_meur,delta,-0.1476292228184247,0.49555379420238965,0.16995512879571972,0.43159585614359885,24
SK,rail_investment_per_network_km,homicide_rate,delta,0.1471331041397384,0.5074522200830376,0.2642901219050119,0.22602007161955243,23
SE,rail_investment_per_network_km,infant_mortality_rate,delta,-0.146241802688315,0.45260750904596286,0.045906640585423326,0.8147959472962273,29
SE,rail_investment_per_network_km,material_deprivation_pct,delta,-0.14570909083534445,0.5967168673454186,-0.124930257678682,0.650686944851399,16
SK,rail_investment_per_network_km,gdp_current_meur,delta,-0.14542397250474365,0.5021092389611712,0.14725090897113782,0.4966754409062498,24
SK,rail_investment_per_network_km,gdp_per_capita_eur,delta,-0.14514500537683717,0.5029414596237148,0.14133243845727253,0.5143809298488549,24
SI,rail_investment_per_network_km,population_density,delta,-0.1451029047634662,0.4649797056279306,-0.230699421727749,0.2401386129217025,28
CH,rail_investment_per_network_km,population_total,delta,-0.14507895234342638,0.6611473591319208,-0.24731345518484152,0.4486619622279167,12
HU,rail_investment_per_network_km,exports_pct_gdp,delta,0.1445839648722663,0.4578213595986136,0.09526549099640516,0.6260895651505954,29
DK,rail_investment_per_network_km,gdp_growth_pct,delta,0.14453539886691655,0.5729373256118105,-0.014480929669866607,0.9552714484287469,18
DE,rail_investment_per_network_km,rail_train_km,delta,-0.14423587392360404,0.681200438868196,-0.28270551997881843,0.41107804630987577,11
