country_code,year,n_regions,mean_network,std_network,mean_elec,std_elec,cv_network,cv_elec
FR,1995,25,1284.72,711.7517427680338,550.16,444.9856439631883,0.5540131256367409,0.8088295113479502
HR,2023,4,654.25,452.802661211261,253.25,162.31322599632273,0.692094247170441,0.6409209318709683
HU,1998,6,1181.5,256.6552161948009,335.6666666666667,69.59214515063225,0.2172282828563698,0.20732515933654094
BG,2007,6,690.5,140.82719907745093,467.6666666666667,128.31004117631116,0.20394960040181162,0.2743621693007366
TR,2016,26,389.65384615384613,262.2770965689063,148.30769230769232,201.15203587948477,0.6731028043422727,1.3563155946230818
DE,1993,9,1396.625,1319.425734119637,511.0,501.3886430989153,0.9447244135824842,0.9811910823853528
EL,1998,13,199.23076923076923,195.01844094262552,0.0,0.0,0.9788570394803597,
FR,2005,25,1242.64,694.3039008004109,589.04,457.3567608188018,0.5587329401921802,0.7764443175655334
IT,2022,20,838.05,536.3727567751054,675.8333333333334,423.77369793183664,0.6400247679435659,0.6270387638942095
NO,2024,6,660.3333333333334,240.1013674818756,421.3333333333333,327.465214437605,0.363606311179014,0.7772117431272272
NO,2006,3,708.0,239.0627532678397,207.66666666666666,183.56016270785264,0.33765925602802216,0.8839173164102053
EL,1990,13,191.76923076923077,187.50695713588595,0.0,0.0,0.9777739441502276,
ES,2019,19,841.7368421052631,832.9975885055973,541.2105263157895,578.9982324812178,0.9896175940477927,1.0698207154666086
HR,2022,4,654.25,452.802661211261,248.75,154.1609007930783,0.692094247170441,0.6197423147460434
RO,2000,8,1376.875,506.10033943026417,493.75,198.82134837946495,0.3675717399402736,0.40267614861663786
